Player Name,Team,Position,Age,Games Played,Games Started,MPG,FGM per game,FGA per game,FG%,3PM per game,3PA  per game,3P%,2PM per game,2PA per game,2P%,eFG%,FTM per game,FTA per game,FT%,ORB per game,DRB per game,TRB per game,AST per game,STL per game,BLK per game,TOV per game,Fouls per game,PPG
Paul Reed,PHI,C,24,6,0,7.2,0.7,1.5,0.444,0,0,0,0.7,1.5,0.444,0.444,0.2,0.3,0.5,1.5,1.2,2.7,0.3,0.2,0.5,0.5,1.2,1.5
Naz Reid,MIN,C,24,12,0,21.1,3.9,8.6,0.456,1.4,4.2,0.34,2.5,4.4,0.566,0.539,1.5,2.1,0.72,0.5,3.3,3.8,1,0.5,0.8,0.8,2,10.8
Duncan Robinson,MIA,SF,29,5,0,12,1,3.2,0.313,0.6,2.6,0.231,0.4,0.6,0.667,0.406,0,0,0,0,1,1,1.2,0.4,0,1,1.2,2.6
Mitchell Robinson,NYK,C,25,6,0,19.2,1.2,2.3,0.5,0,0,0,1.2,2.3,0.5,0.5,0.5,1.3,0.375,3.8,3,6.8,0.5,1,1.2,0.5,2.5,2.8
Orlando Robinson,MIA,C,23,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Jeremiah Robinson-Earl,NOP,PF,23,1,0,5,1,2,0.5,0,0,0,1,2,0.5,0.5,0,2,0,1,0,1,1,0,0,0,0,2
David Roddy,PHO,PF,22,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D'Angelo Russell,LAL,PG,27,5,5,37,5.6,14.6,0.384,2.8,8.8,0.318,2.8,5.8,0.483,0.479,0.2,0.4,0.5,0.2,2.6,2.8,4.2,0.8,0.2,1.8,1.2,14.2
Matt Ryan,NOP,SF,26,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
Ben Sheppard,IND,SG,22,14,0,18.9,1.9,4.1,0.474,1.3,2.9,0.439,0.6,1.1,0.563,0.632,0.4,0.6,0.75,0.4,2.6,3.1,1.1,0.4,0.1,0.7,1.6,5.6
Pascal Siakam,IND,PF,29,14,14,35.4,9.1,16.9,0.536,0.9,2.8,0.308,8.2,14.1,0.581,0.561,2.3,3.9,0.593,2.4,5.4,7.9,3.8,0.9,0.5,0.9,2.9,21.3
Jericho Sims,NYK,C,25,5,0,5.4,0.4,0.4,1,0,0,0,0.4,0.4,1,1,0.6,0.8,0.75,0.6,1,1.6,0.2,0.4,0.2,0,0.2,1.4
Jalen Smith,IND,C,23,6,0,6,0.3,0.8,0.4,0.2,0.3,0.5,0.2,0.5,0.333,0.5,0.7,1,0.667,1,1,2,0.3,0.2,0.2,0.5,1,1.5
Jaden Springer,BOS,PG,21,3,0,4.7,0.7,0.7,1,0,0,0,0.7,0.7,1,1,0,0,0,0,0.3,0.3,0.3,0,0.3,0.7,0.3,1.3
Julian Strawther,DEN,SF,21,3,0,5.3,0.7,2,0.333,0.3,1.3,0.25,0.3,0.7,0.5,0.417,0.7,1.3,0.5,0,0.7,0.7,0,0.3,0,0.3,1,2.3
Max Strus,CLE,SF,27,12,12,36.2,3.5,8.6,0.408,2.1,6,0.347,1.4,2.6,0.548,0.529,0.4,0.4,1,0.7,4.7,5.3,2.9,0.8,0,1.3,3.4,9.5
Jalen Suggs,ORL,SG,22,7,7,33.1,4.7,11.7,0.402,2,6.9,0.292,2.7,4.9,0.559,0.488,3.3,4.3,0.767,1.6,3.6,5.1,3.3,1.3,0.4,2.9,2.6,14.7
Jayson Tatum,BOS,PF,25,11,11,39.7,8.1,18.6,0.434,1.8,6.5,0.278,6.3,12.1,0.519,0.483,7.4,8.5,0.862,0.7,9.8,10.5,5.6,1.2,0.7,2.3,2.9,25.4
Daniel Theis,LAC,C,31,1,0,4,1,1,1,1,1,1,0,0,0,1.5,0,0,0,0,1,1,0,0,0,0,0,3
Isaiah Thomas,PHO,PG,34,1,0,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tristan Thompson,CLE,C,32,10,0,8.7,0.7,1.6,0.438,0,0,0,0.7,1.6,0.438,0.438,0.1,0.2,0.5,1,1,2,1,0.1,0.5,0.2,0.9,1.5
Xavier Tillman Sr.,BOS,PF,25,3,0,8.3,0.7,0.7,1,0,0,0,0.7,0.7,1,1,0,0,0,0,2,2,0.7,0.7,0.3,0,1,1.3
Obi Toppin,IND,PF,25,14,0,19.2,4.4,8.1,0.544,1.2,3.6,0.34,3.2,4.6,0.703,0.618,1.2,1.5,0.81,0.6,3.8,4.4,1.7,0.4,0.4,0.7,1.3,11.3
Karl-Anthony Towns,MIN,PF,28,12,12,32.5,6.8,13.8,0.491,2,4.9,0.407,4.8,8.8,0.538,0.564,3.1,3.7,0.841,2.1,7,9.1,2.8,0.8,0.3,1.8,3.8,18.6
P.J. Tucker,LAC,PF,38,2,1,15.5,2,3,0.667,1.5,2,0.75,0.5,1,0.5,0.917,0,0,0,1.5,0,1.5,0,0,0,1.5,3,5.5
Myles Turner,IND,C,27,14,14,32.9,6.6,12.6,0.523,2.5,5.3,0.473,4.1,7.3,0.559,0.622,2.3,3.1,0.727,1.7,5.1,6.8,2.4,0.5,1.8,1.4,2.4,17.9
Hunter Tyson,DEN,PF,23,3,0,4.7,0,1.3,0,0,1,0,0,0.3,0,0,0.3,0.7,0.5,0.3,0.7,1,0.3,0,0,0.3,0,0.3
Jonas Valan?i?nas,NOP,C,31,4,4,22.5,5.5,10.5,0.524,0,0.3,0,5.5,10.3,0.537,0.524,3.5,4.3,0.824,4.5,6.5,11,1.3,0.5,0,2.5,2.3,14.5
Gabe Vincent,LAL,PG,27,5,0,13.8,0.6,2.4,0.25,0.2,1.4,0.143,0.4,1,0.4,0.292,0,0,0,0.2,1.4,1.6,0.6,0.4,0,0.6,1.6,1.4
Dean Wade,CLE,PF,27,3,1,21,1.3,4.3,0.308,1,3.3,0.3,0.3,1,0.333,0.423,0,0,0,0.3,1.7,2,1.7,0.3,0.7,0.7,1.3,3.7
Franz Wagner,ORL,SF,22,7,7,37,6,14.7,0.408,1.3,4.9,0.265,4.7,9.9,0.478,0.451,5.6,6.3,0.886,1.4,5.4,6.9,4.4,0.7,1.3,1.3,2.9,18.9
Moritz Wagner,ORL,C,26,7,0,15,2.3,5.1,0.444,0.3,1.3,0.222,2,3.9,0.519,0.472,1.4,2.4,0.588,1.6,2.9,4.4,0.3,0.9,0.4,1.1,3,6.3
Jarace Walker,IND,PF,20,8,0,3.3,0.3,0.9,0.286,0,0.3,0,0.3,0.6,0.4,0.286,0.1,0.3,0.5,0,0.3,0.3,0.5,0.1,0.1,0.6,0.1,0.6
Cason Wallace,OKC,SG,20,10,0,19.8,1.6,4.1,0.39,0.9,2.8,0.321,0.7,1.3,0.538,0.5,0.1,0.2,0.5,0.7,0.6,1.3,1,0.9,0.2,0.4,1.4,4.2
Jordan Walsh,BOS,SF,19,2,0,3,0.5,0.5,1,0,0,0,0.5,0.5,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,1
T.J. Warren,MIN,SF,30,3,0,3.7,0,0.7,0,0,0.3,0,0,0.3,0,0,0,0,0,0.7,0.3,1,0.3,0,0,0,0,0
P.J. Washington,DAL,PF,25,13,13,35.8,5.1,11.3,0.449,2.7,6.8,0.393,2.4,4.5,0.534,0.568,1.3,2.2,0.586,1.5,5.3,6.8,1.4,1,0.8,1.5,3.2,14.2
Lindy Waters III,OKC,SG,26,3,0,3,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0
Peyton Watson,DEN,SF,21,10,0,9,0.6,2.4,0.25,0.3,1.2,0.25,0.3,1.2,0.25,0.313,0.3,0.6,0.5,0.2,1.3,1.5,0.4,0,0.6,0.3,0.9,1.8
Russell Westbrook,LAC,PG,35,6,0,19,2.2,8.3,0.26,0.7,2.8,0.235,1.5,5.5,0.273,0.3,1.3,2.2,0.615,1,3.2,4.2,1.7,1.2,0.5,1.7,1.8,6.3
Derrick White,BOS,SG,29,11,11,34.4,6.4,13.4,0.476,3.6,8.5,0.43,2.7,4.9,0.556,0.612,1.5,1.7,0.895,0.7,3.3,4,4.3,0.5,0.9,0.9,2,17.9
Aaron Wiggins,OKC,SG,25,10,0,15.7,2.3,4.7,0.489,0.6,2,0.3,1.7,2.7,0.63,0.553,1,1.1,0.909,0.9,2.3,3.2,1,0.6,0.3,0.9,0.8,6.2
Jalen Williams,OKC,PF,22,10,10,37.7,7.5,16,0.469,1.5,3.9,0.385,6,12.1,0.496,0.516,2.2,2.7,0.815,1.3,5.5,6.8,5.4,1.7,0.5,1.9,2.1,18.7
Jaylin Williams,OKC,C,21,10,0,12.7,1.6,3.3,0.485,0.9,2.2,0.409,0.7,1.1,0.636,0.621,0.3,0.4,0.75,0.4,2.8,3.2,1.5,0.4,0.3,0.3,1.1,4.4
Kenrich Williams,OKC,PF,29,7,0,4.6,0.3,1.1,0.25,0,0.7,0,0.3,0.4,0.667,0.25,0,0,0,0.1,1,1.1,0.4,0.1,0,0,0.4,0.6
Delon Wright,MIA,PG,31,4,1,26.8,3,5,0.6,1.5,2.5,0.6,1.5,2.5,0.6,0.75,0.5,0.5,1,0.5,2.5,3,1.8,1,0.3,0,1.3,8
Thaddeus Young,PHO,PF,35,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivica Zubac,LAC,C,26,6,6,32,7,11.7,0.6,0,0,0,7,11.7,0.6,0.6,2.2,3.3,0.65,3,6.3,9.3,1,0.8,0.5,1.3,3.5,16.2
